price_numeric,discount_percent,rating,reviews_count,title_length,has_description,has_discount,has_rating,high_rating,hour,day_of_week,month,website_encoded,category_encoded,deal_quality_score
69.0,0.0,0.0,0.0,80,0,0,0,0,21,3,10,1,2,0.0
127.0,0.0,0.0,0.0,65,0,0,0,0,21,3,10,1,27,0.0
0.0,0.0,0.0,0.0,88,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,98,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,87,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,81,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,55,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,69,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,81,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,95,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,69,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,72,0,0,0,0,16,3,10,0,9,0.0
0.0,0.0,0.0,0.0,36,0,0,0,0,16,3,10,0,0,0.0
337.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,3,0.0
299.99,0.0,0.0,0.0,99,0,0,0,0,16,3,10,1,3,0.0
8.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,3,0.0
44.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,3,0.0
9.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,26,0.0
4.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,26,0.0
19.27,0.0,0.0,0.0,99,0,0,0,0,16,3,10,1,26,0.0
79.88,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,26,0.0
47.11,0.0,0.0,0.0,87,0,0,0,0,16,3,10,1,26,0.0
7.99,0.0,0.0,0.0,65,0,0,0,0,16,3,10,1,26,0.0
11.99,0.0,0.0,0.0,80,0,0,0,0,16,3,10,1,26,0.0
229.99,0.0,0.0,0.0,99,0,0,0,0,16,3,10,1,26,0.0
699.0,0.0,0.0,0.0,86,0,0,0,0,16,3,10,1,26,0.0
689.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,11,0.0
559.99,0.0,0.0,0.0,76,0,0,0,0,16,3,10,1,6,0.0
8.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,13,0.0
48.77,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,13,0.0
559.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,13,0.0
159.37,0.0,0.0,0.0,78,0,0,0,0,16,3,10,1,13,0.0
297.99,0.0,0.0,0.0,99,0,0,0,0,16,3,10,1,13,0.0
299.99,0.0,0.0,0.0,72,0,0,0,0,16,3,10,1,13,0.0
379.99,0.0,0.0,0.0,92,0,0,0,0,16,3,10,1,10,0.0
79.99,0.0,0.0,0.0,55,0,0,0,0,16,3,10,1,10,0.0
249.99,0.0,0.0,0.0,90,0,0,0,0,16,3,10,1,10,0.0
549.0,0.0,0.0,0.0,72,0,0,0,0,16,3,10,1,8,0.0
129.99,0.0,0.0,0.0,85,0,0,0,0,16,3,10,1,19,0.0
363.0,0.0,0.0,0.0,70,0,0,0,0,16,3,10,1,19,0.0
229.0,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,11,0.0
199.0,0.0,0.0,0.0,96,0,0,0,0,16,3,10,1,11,0.0
249.0,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,11,0.0
13.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,17,0.0
450.0,0.0,0.0,0.0,99,0,0,0,0,16,3,10,1,17,0.0
169.99,0.0,0.0,0.0,99,0,0,0,0,16,3,10,1,22,0.0
110.99,0.0,0.0,0.0,91,0,0,0,0,16,3,10,1,2,0.0
187.49,0.0,0.0,0.0,81,0,0,0,0,16,3,10,1,2,0.0
18.99,0.0,0.0,0.0,79,0,0,0,0,16,3,10,1,2,0.0
179.1,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,2,0.0
9.17,0.0,0.0,0.0,87,0,0,0,0,16,3,10,1,2,0.0
999.0,0.0,0.0,0.0,74,0,0,0,0,16,3,10,1,2,0.0
19.59,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,2,0.0
367.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,27,0.0
499.97,0.0,0.0,0.0,71,0,0,0,0,16,3,10,1,27,0.0
230.0,0.0,0.0,0.0,69,0,0,0,0,16,3,10,1,27,0.0
998.0,0.0,0.0,0.0,88,0,0,0,0,16,3,10,1,27,0.0
279.99,0.0,0.0,0.0,69,0,0,0,0,16,3,10,1,27,0.0
399.97,0.0,0.0,0.0,33,0,0,0,0,16,3,10,1,27,0.0
203.0,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,27,0.0
797.99,0.0,0.0,0.0,100,0,0,0,0,16,3,10,1,27,0.0
0.0,0.0,0.0,0.0,52,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,65,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,89,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,89,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,80,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,63,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,72,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,94,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,78,0,0,0,0,16,2,10,0,9,0.0
0.0,0.0,0.0,0.0,77,0,0,0,0,16,2,10,0,9,0.0
179.99,0.0,0.0,0.0,95,0,0,0,0,16,2,10,1,3,0.0
89.99,0.0,0.0,0.0,97,0,0,0,0,16,2,10,1,3,0.0
109.99,0.0,0.0,0.0,100,0,0,0,0,16,2,10,1,3,0.0
499.0,0.0,0.0,0.0,92,0,0,0,0,16,2,10,1,3,0.0
3.8,0.0,0.0,0.0,82,0,0,0,0,16,2,10,1,26,0.0
299.0,0.0,0.0,0.0,57,0,0,0,0,16,2,10,1,13,0.0
299.99,0.0,0.0,0.0,64,0,0,0,0,16,2,10,1,10,0.0
8.69,0.0,0.0,0.0,87,0,0,0,0,16,2,10,1,11,0.0
45.0,0.0,0.0,0.0,63,0,0,0,0,16,2,10,1,2,0.0
74.99,0.0,0.0,0.0,79,0,0,0,0,16,2,10,1,2,0.0
0.0,0.0,0.0,0.0,68,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,60,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,74,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,83,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,75,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,63,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,52,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,77,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,83,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,125,0,0,0,0,12,2,10,0,9,0.0
0.0,0.0,0.0,0.0,30,0,0,0,0,12,2,10,0,0,0.0
0.0,0.0,0.0,0.0,30,0,0,0,0,12,2,10,0,31,0.0
0.0,0.0,0.0,0.0,36,0,0,0,0,12,2,10,0,28,0.0
0.0,0.0,0.0,0.0,20,0,0,0,0,12,2,10,0,16,0.0
118.0,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,3,0.0
449.99,0.0,0.0,0.0,99,0,0,0,0,12,2,10,1,3,0.0
279.0,0.0,0.0,0.0,46,0,0,0,0,12,2,10,1,3,0.0
179.99,0.0,0.0,0.0,87,0,0,0,0,12,2,10,1,3,0.0
8.99,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,3,0.0
0.0,0.0,0.0,0.0,69,0,0,0,0,12,2,10,1,26,0.0
7.74,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,26,0.0
39.99,0.0,0.0,0.0,84,0,0,0,0,12,2,10,1,26,0.0
149.0,0.0,0.0,0.0,81,0,0,0,0,12,2,10,1,13,0.0
399.99,0.0,0.0,0.0,76,0,0,0,0,12,2,10,1,10,0.0
176.83,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,8,0.0
63.19,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,19,0.0
285.99,0.0,0.0,0.0,99,0,0,0,0,12,2,10,1,11,0.0
130.0,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,11,0.0
946.99,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,11,0.0
7.79,0.0,0.0,0.0,67,0,0,0,0,12,2,10,1,17,0.0
60.0,0.0,0.0,0.0,98,0,0,0,0,12,2,10,1,2,0.0
19.59,0.0,0.0,0.0,67,0,0,0,0,12,2,10,1,2,0.0
269.91,0.0,0.0,0.0,100,0,0,0,0,12,2,10,1,27,0.0
449.0,0.0,0.0,0.0,37,0,0,0,0,6,2,10,1,3,0.0
499.99,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,3,0.0
7.99,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,3,0.0
386.98,0.0,0.0,0.0,85,0,0,0,0,6,2,10,1,3,0.0
9.99,0.0,0.0,0.0,84,0,0,0,0,6,2,10,1,26,0.0
41.24,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,26,0.0
24.0,0.0,0.0,0.0,66,0,0,0,0,6,2,10,1,26,0.0
